image_id,iou,iou_inv,iou_inv_robust,used_inversion,pred_fg_ratio,gt_fg_ratio,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_207,0.05159194662295108,0.0,0.05159194662295108,0,0.0269012451171875,0.52142333984375,0.9443403956452815,0.9428245055008289,0.9443403956452815,0,2
rwtd_210,0.0014847186038038254,0.16686641210731434,0.16686641210731434,1,0.0921630859375,0.453338623046875,0.6047943518593292,0.5466613769530416,0.6047943518593292,0,1
rwtd_213,0.00032094878574371157,0.9966272284380865,0.9966272284380865,1,0.5684356689453125,0.4302825927734375,0.9955483323908297,0.9966272284380865,0.9966272284380865,1,1
rwtd_214,0.9914575906366477,0.001376736217340547,0.9914575906366477,0,0.451202392578125,0.45233154296875,0.9914575906366477,0.9929554027066251,0.9929554027066251,1,1
rwtd_215,0.9925572656980299,0.002245063151946142,0.9925572656980299,0,0.4214324951171875,0.4200897216796875,0.9925572656980299,0.9945880622107518,0.9945880622107518,1,1
rwtd_216,0.08373452544701865,0.0,0.08373452544701865,0,0.044586181640625,0.532470703125,0.5324707031249187,0.4893474302870781,0.5324707031249187,0,3
rwtd_219,0.40202331542962616,0.5721222554240983,0.5721222554240983,1,0.9395751953125,0.4624481201171875,0.46244812011711695,0.5721222554240983,0.5721222554240983,1,1
rwtd_22,0.1204266805424175,0.03077155519741369,0.1204266805424175,0,0.0751495361328125,0.4505462646484375,0.4671550169286987,0.562596024776323,0.562596024776323,1,3
rwtd_221,7.648066568770246e-05,0.994761904761589,0.994761904761589,1,0.47821044921875,0.5194244384765625,0.9951755796611225,0.994761904761589,0.9951755796611225,0,1
rwtd_222,0.007996199825824085,0.9423606950267741,0.9423606950267741,1,0.7276763916015625,0.2436981201171875,0.9571729174396848,0.986179348911327,0.986179348911327,1,3
rwtd_224,0.9934539615880339,0.0006883997001635809,0.9934539615880339,0,0.4916229248046875,0.4934844970703125,0.9934539615880339,0.9936454648998881,0.9936454648998881,1,1
rwtd_228,0.4583875063094883,0.012876802096981364,0.4583875063094883,0,0.4632720947265625,0.9915771484375,0.9939428239287527,0.2864864864813246,0.9939428239287527,0,3
rwtd_229,0.0004122892743708142,0.9980321675016405,0.9980321675016405,1,0.5808258056640625,0.418853759765625,0.9972725289108308,0.9980321675016405,0.9980321675016405,1,1
rwtd_236,5.621451458765074e-05,0.023690813699604494,0.023690813699604494,1,0.0111236572265625,0.5317840576171875,0.5471487784964286,0.46821594238274106,0.5471487784964286,0,1
rwtd_237,0.0,0.004871721868968121,0.004871721868968121,1,0.002349853515625,0.5176544189453125,0.9897872589468324,0.9889947023205761,0.9897872589468324,0,1
rwtd_238,0.0,0.020619414996941608,0.020619414996941608,1,0.0113372802734375,0.450164794921875,0.45532696433249653,0.5754851074022878,0.5754851074022878,1,2
rwtd_24,0.014344262295069186,0.0005137520412468553,0.014344262295069186,0,0.0028839111328125,0.17083740234375,0.5089344804761994,0.8570001927219622,0.8570001927219622,1,3
rwtd_240,0.0,0.1493046730328785,0.1493046730328785,1,0.062744140625,0.5797576904296875,0.9394471367814906,0.9110780291198899,0.9394471367814906,0,1
rwtd_243,0.0,0.9224255354064295,0.9224255354064295,1,0.857666015625,0.0702056884765625,0.4932461406512722,0.9297943115232956,0.9297943115232956,1,2
rwtd_244,0.0,0.08928788554288306,0.08928788554288306,1,0.067230224609375,0.247039794921875,0.5088314790368631,0.7529602050780101,0.7529602050780101,1,4
rwtd_245,0.001496585913384857,0.9653241237688512,0.9653241237688512,1,0.6326904296875,0.347564697265625,0.9385137371727331,0.9653241237688512,0.9653241237688512,1,1
rwtd_246,0.08817603223843408,0.0,0.08817603223843408,0,0.0420684814453125,0.4770965576171875,0.5923904445497958,0.6334115805945335,0.6334115805945335,1,2
rwtd_247,0.007592562947376314,0.28090289054878825,0.28090289054878825,1,0.1370391845703125,0.535247802734375,0.6107898113803486,0.465825495144075,0.6107898113803486,0,2
rwtd_25,0.0025394522038809666,0.18862044032209127,0.18862044032209127,1,0.1167144775390625,0.3892974853515625,0.5023105452092378,0.6107025146483444,0.6107025146483444,1,3
rwtd_250,0.0032492518170144295,0.064062777088122,0.064062777088122,1,0.045257568359375,0.31280517578125,0.7487946178281634,0.8522922069357716,0.8522922069357716,1,5
rwtd_251,0.008844631370605874,0.0,0.008844631370605874,0,0.004364013671875,0.493408203125,0.5112411067192868,0.5151839610197361,0.5151839610197361,1,2
rwtd_252,0.030585325638886572,0.00011155941468491688,0.030585325638886572,0,0.0057525634765625,0.18499755859375,0.9368984787325854,0.9847937903299384,0.9847937903299384,1,1
rwtd_253,0.11498042447967367,0.021192427239326492,0.11498042447967367,0,0.0784149169921875,0.5821075439453125,0.9753666743723575,0.9652082426349712,0.9753666743723575,0,2
rwtd_254,0.9856646690271773,0.004494794294362474,0.9856646690271773,0,0.4461822509765625,0.443634033203125,0.9856646690271773,0.9884938096146415,0.9884938096146415,1,1
rwtd_256,0.012119923453111352,0.0,0.012119923453111352,0,0.0060882568359375,0.5023345947265625,0.5023345947264859,0.5007138799759736,0.5023345947264859,0,2
rwtd_257,0.004389833637612179,0.5898233931671999,0.5898233931671999,1,0.3762969970703125,0.370819091796875,0.6529970165444392,0.6914134105159935,0.6914134105159935,1,2
rwtd_258,0.0,0.9810281318248261,0.9810281318248261,1,0.4592132568359375,0.5319061279296875,0.9835783414686428,0.9810281318248261,0.9835783414686428,0,2
rwtd_259,0.02275339002527719,0.6945163666980961,0.6945163666980961,1,0.5215606689453125,0.2932586669921875,0.5540669268350938,0.7067413330077047,0.7067413330077047,1,2
rwtd_260,0.06476082817703928,0.0004983291317346256,0.06476082817703928,0,0.033477783203125,0.5126800537109375,0.9967053515772769,0.9965264739013029,0.9967053515772769,0,2
rwtd_261,0.004026455188461982,0.983090174019693,0.983090174019693,1,0.4307098388671875,0.569976806640625,0.9871979133394584,0.983090174019693,0.9871979133394584,0,3
rwtd_262,0.03986403806932975,0.0,0.03986403806932975,0,0.022369384765625,0.5611419677734375,0.9859687287556803,0.9823752433647633,0.9859687287556803,0,2
rwtd_263,0.99383489066532,0.0010853779714131186,0.99383489066532,0,0.473358154296875,0.47412109375,0.99383489066532,0.9944484603148781,0.9944484603148781,1,1
rwtd_265,0.44056721344590904,0.25343322753902386,0.44056721344590904,0,0.4530181884765625,0.1995849609375,0.44056721344590904,0.8004150390623779,0.8004150390623779,1,2
rwtd_268,0.02965336984254476,0.0,0.02965336984254476,0,0.0145416259765625,0.490386962890625,0.9933349866696654,0.9935807482157486,0.9935807482157486,1,1
rwtd_269,0.9944939921421828,0.002777523425815283,0.9944939921421828,0,0.5319366455078125,0.5293121337890625,0.9944939921421828,0.993777748970738,0.9944939921421828,0,1
rwtd_27,0.005660676114319666,0.02658895498662687,0.02658895498662687,1,0.0190277099609375,0.368621826171875,0.618435487046604,0.6885189437426663,0.6885189437426663,1,5
rwtd_270,0.19211192916829808,0.0,0.19211192916829808,0,0.1238250732421875,0.6445465087890625,0.6445465087889641,0.4719312817810677,0.6445465087889641,0,4
rwtd_274,0.0028131279303408407,0.02489755156857161,0.02489755156857161,1,0.01263427734375,0.558502197265625,0.9310256672459017,0.907342537261863,0.9310256672459017,0,1
rwtd_276,0.0,0.004231407966875758,0.004231407966875758,1,0.002838134765625,0.3292694091796875,0.35026381971491855,0.6707305908202101,0.6707305908202101,1,5
rwtd_28,0.013661446681576836,0.02021787018316177,0.02021787018316177,1,0.0172119140625,0.5013275146484375,0.8634949230262956,0.8524822276626494,0.8634949230262956,0,1
rwtd_280,0.0,0.028365769128224912,0.028365769128224912,1,0.0162353515625,0.427642822265625,0.44846004439496095,0.6977150895333807,0.6977150895333807,1,3
rwtd_281,0.09038129097488816,0.012951601908653729,0.09038129097488816,0,0.0498199462890625,0.4602813720703125,0.8840166823305675,0.8885628015913062,0.8885628015913062,1,1
rwtd_282,0.0,0.08617609772960523,0.08617609772960523,1,0.0456390380859375,0.47039794921875,0.6861697330445784,0.6034811839442203,0.6861697330445784,0,1
rwtd_288,0.0,0.014414135151885301,0.014414135151885301,1,0.00567626953125,0.606201171875,0.6096617764408861,0.39379882812493994,0.6096617764408861,0,2
rwtd_293,0.0008998200359919017,0.007327578503385462,0.007327578503385462,1,0.0063934326171875,0.1463623046875,0.3572481572480222,0.8536376953123698,0.8536376953123698,1,6
