image_id,v9_iou,v9_ari,used_v8,cov7,prec7,areaU7,cov8,prec8,areaU8
348,0.9008110848208808,0.889310235777387,0,0.2522575330312728,0.9927057356608479,0.25411108646747566,0.2522575330312728,0.9927057356608479,0.25411108646747566
349,0.9187794139926179,0.9013437857955646,0,0.28733924434859015,0.988621997471555,0.2906462177490215,0.28733924434859015,0.988621997471555,0.2906462177490215
350,0.8523058319086885,0.8335843931505627,0,0.2371117841841779,0.9743970076099574,0.24334206933350072,0.7628882158158221,0.9843674064474324,0.7750035310180318
351,0.983656286754833,0.9680325822827865,0,0.4926277773416032,0.9872553338787841,0.49898720263798385,0.4926277773416032,0.9872553338787841,0.49898720263798385
352,0.9536526153147937,0.8560448966704362,0,1.0,0.9978540321053628,1.00215058297666,1.0,0.9978540321053628,1.00215058297666
357,0.9764521792192334,0.9626229267778154,0,0.4104054596547571,0.9874816474770111,0.4156081894821357,0.4104054596547571,0.9874816474770111,0.4156081894821357
358,0.5547941640779369,0.046690261076309504,0,0.504881361348566,0.9880550343964978,0.5109850603179675,0.8713429735559639,0.9783283400010764,0.89064472317648
359,0.9336730610150912,0.8540062361912851,0,0.5741106394181722,0.9970281468781255,0.5758218975219667,0.42588936058182775,0.9448074466143457,0.4507684207062231
362,0.5207905787255378,0.00537394799504516,0,0.0,0.0,0.0,0.0,0.0,0.0
363,0.9383732654704509,0.8490447842132451,0,1.0,0.9960345886205485,1.003981198469165,1.0,0.9960345886205485,1.003981198469165
364,0.9791702642009602,0.9404573772436566,0,1.0,0.9743204718069247,1.026356346742311,1.0,0.9743204718069247,1.026356346742311
365,0.563889712420982,0.13218758768041525,0,1.0,0.9585470266604501,1.04324563342914,0.3839044881715675,0.9865909090909091,0.38912226398408134
366,0.9174618187862201,0.8271040056417368,0,1.0,0.9584639277142454,1.0433360829601697,1.0,0.9584639277142454,1.0433360829601697
367,0.9197711254612613,0.8103072347112382,0,1.0,0.9834196614513804,1.0168598810848968,1.0,0.9834196614513804,1.0168598810848968
371,0.961755044577502,0.9124240733328056,0,1.0,0.9976961023472651,1.0023092178543291,1.0,0.9976961023472651,1.0023092178543291
373,0.8955253431831076,0.895329649796684,0,0.22136342050534658,0.9962414326774265,0.22219856878510488,0.7786365794946534,0.9601785101270168,0.8109289796453076
374,0.8964059196597998,0.724984276007654,0,0.6754257193188491,0.9965585290720061,0.6777582044757617,0.5063776342402296,0.9978144184103108,0.5074867880211391
376,0.8828185769806323,0.846924324893578,0,0.3092785177734153,0.9877713871185035,0.3131073867968915,0.32712494118792285,0.984954325631381,0.33212193974398496
377,0.5257758952629561,0.0015844685728217825,0,1.0,0.931926259881423,1.0730462731324244,0.35875345847346707,0.9937130007801386,0.3610232111201312
378,0.9806806550647378,0.922362057994541,0,0.8388277227722772,0.9764332737096387,0.8590732673267327,0.8388277227722772,0.9764332737096387,0.8590732673267327
380,0.9442948850674171,0.8369421220738964,0,1.0,0.9983333333333333,1.001669449081803,1.0,0.9983333333333333,1.001669449081803
382,0.9360930714352442,0.8032980033451299,0,1.0,0.9981485422430304,1.001854892011172,1.0,0.9981485422430304,1.001854892011172
383,0.9677453173016224,0.944435580888509,0,0.43459493771324287,0.9606089305131713,0.4524160914068079,0.43459493771324287,0.9606089305131713,0.4524160914068079
387,0.26372555389342,0.2702859526831446,0,0.06314740720826151,0.9791564492398235,0.06449164202236174,0.06314740720826151,0.9791564492398235,0.06449164202236174
388,0.6536781852844873,0.5537686133678955,0,0.23619491752398658,0.97243302847506,0.2428906779260473,1.0,0.9709954259664367,1.0298709687583698
