image_id,v11_iou,v11_ari,v9_iou,v9_ari,delta_iou_vs_v9,delta_ari_vs_v9,proposal_count_dense,source,switched,v9_cov_union,best_cov_union,best_prec_union,best_area_u
303,0.9752610854264028,0.964763022030058,0.9752610854264028,0.964763022030058,0.0,0.0,29,v9_keep,0,0.3535571344357916,0.6432161583568614,1.0,0.6432161583568614
304,0.7168579101551562,-0.0006090239710809179,0.7168579101551562,-0.0006090239710809179,0.0,0.0,40,v9_keep,0,0.9997675103457896,0.9997675103457896,0.9847487901317497,1.0152513213162013
308,0.12132248335491697,-0.0907994927830405,0.12132248335491697,-0.0907994927830405,0.0,0.0,61,v9_keep,0,0.10067739337765076,0.10067739337765076,0.9968730456535334,0.10099319448611264
310,0.9771572327027637,0.8627202648046833,0.9771572327027637,0.8627202648046833,0.0,0.0,32,v9_keep,0,0.8980209330328198,0.8980209330328198,0.9933403913800758,0.9040414955694834
311,0.9855392074324341,0.9124594089121637,0.9855392074324341,0.9124594089121637,0.0,0.0,35,v9_keep,0,0.9066613236336735,0.9066613236336735,0.9941862430285617,0.9119632563731082
315,0.996522727651008,0.9766853132233686,0.996522727651008,0.9766853132233686,0.0,0.0,36,v9_keep,0,0.9126062823844155,0.9126062823844155,0.9943376945370479,0.917803164255293
318,0.9890456594140916,0.9627979400684947,0.9890456594140916,0.9627979400684947,0.0,0.0,35,v9_keep,0,0.7826455092824887,0.7826455092824887,0.9828686200378072,0.7962870045158054
319,0.42695768715180943,0.12690397126345093,0.42695768715180943,0.12690397126345093,0.0,0.0,42,v9_keep,0,0.2435545289968163,0.43861976403021413,1.0,0.43861976403021413
321,0.5149569683491291,0.3258426603890733,0.5149569683491291,0.3258426603890733,0.0,0.0,31,v9_keep,0,0.22748822508676253,0.22748822508676253,0.9857008592910849,0.2307882994546356
322,0.9595846270228309,0.9076492450154185,0.9595846270228309,0.9076492450154185,0.0,0.0,33,v9_keep,0,0.57651797273323,0.57651797273323,0.9767397779582995,0.5902472549427015
323,0.9143076923048791,0.8372371219679273,0.9143076923048791,0.8372371219679273,0.0,0.0,59,v9_keep,0,0.5339485827290705,0.5339485827290705,0.9956331877729258,0.5362904624778823
324,0.9608320353032164,0.927683812221141,0.9608320353032164,0.927683812221141,0.0,0.0,75,v9_keep,0,0.46136130609669534,0.5234797696979258,1.0,0.5234797696979258
325,0.9234277859323208,0.855994224115847,0.9234277859323208,0.855994224115847,0.0,0.0,159,v9_keep,0,0.4776646321371974,0.5146941145089671,1.0,0.5146941145089671
327,0.9587854722179893,0.9278447432603506,0.9587854722179893,0.9278447432603506,0.0,0.0,49,v9_keep,0,0.43452694945232256,0.4374747882210569,1.0,0.4374747882210569
328,0.9430931619969832,0.9179065051063638,0.9430931619969832,0.9179065051063638,0.0,0.0,39,v9_keep,0,0.37227049367047416,0.37227049367047416,1.0,0.37227049367047416
