image_id,selected_source,selected_run_idx,predicted_iou,actual_iou,actual_ari
rwtd_350,run0_union,0,0.9445505738258362,0.9752038186943455,0.9272170883045101
rwtd_351,rwtd_351_p01_m00.png,0,0.9622706174850464,0.9894756391970857,0.9793553905410386
rwtd_352,rwtd_352_p02_m00.png,1,0.9503443837165833,0.9676533108711995,0.8977539325966591
rwtd_357,rwtd_357_p02_m00.png,1,0.955173909664154,0.9648600805959667,0.9437669362415334
rwtd_358,run3_union,3,0.8973888754844666,0.9881573315138827,0.8515734744202654
rwtd_359,rwtd_359_p01_m00.png,2,0.9197606444358826,0.946239427974317,0.880777049742245
rwtd_362,rwtd_362_p01_m00.png,1,0.7974739074707031,0.8249984640879001,0.6825043528235936
rwtd_363,run0_union,0,0.9390387535095215,0.9528915113550817,0.8833266452640592
rwtd_364,rwtd_364_p01_m00.png,2,0.8516643643379211,0.8648989898946217,0.8375962050324365
rwtd_365,rwtd_365_p02_m00.png,2,0.921174943447113,0.9183023327486427,0.8152686746806473
rwtd_366,rwtd_366_p02_m08.png,3,0.6378692388534546,0.6647016624538701,0.4514563384820682
rwtd_367,rwtd_367_p02_m00.png,0,0.8813503980636597,0.8799145404069647,0.7236617989404422
rwtd_371,rwtd_371_p01_m00.png,2,0.9546976685523987,0.9747973624515238,0.9418149956565268
rwtd_373,rwtd_373_p01_m00.png,1,0.9029074907302856,0.9156959526099657,0.9152717350600628
rwtd_374,rwtd_374_p01_m06.png,3,0.7545841932296753,0.9607638888805489,0.9664076210419431
rwtd_376,run3_union,3,0.9585437774658203,0.9751207342450959,0.9340944806540605
rwtd_377,run2_union,2,0.886557936668396,0.9200275766818334,0.9464832693797872
rwtd_378,rwtd_378_p01_m00.png,0,0.8844348192214966,0.9281595475062839,0.7420442887928171
rwtd_380,run3_union,3,0.9244529008865356,0.9599105441875261,0.8807218790227994
rwtd_382,rwtd_382_p01_m00.png,0,0.9451461434364319,0.955954420492936,0.8611269810209702
rwtd_383,rwtd_383_p01_m00.png,2,0.9034765958786011,0.9621581513648448,0.9147167995702076
rwtd_387,run2_union,2,0.9569723606109619,0.9816685595851881,0.9403623208926002
rwtd_388,rwtd_388_p01_m00.png,0,0.9092034697532654,0.9860297967514254,0.9642937609908342
rwtd_389,rwtd_389_p01_m00.png,0,0.9034544229507446,0.8884511270111001,0.7621000864534639
rwtd_391,rwtd_391_p03_m00.png,0,0.90127032995224,0.8800027793157309,0.8835764745592461
rwtd_392,run3_union,3,0.9195316433906555,0.961882953126288,0.9213479748457938
rwtd_393,rwtd_393_p01_m00.png,2,0.8888870477676392,0.9342039296179382,0.838386550998445
rwtd_394,run3_union,3,0.9076147675514221,0.9866705226601465,0.9692773235074551
rwtd_395,run3_union,3,0.9004561901092529,0.9440189865651831,0.8649647447463662
rwtd_397,run3_union,3,0.7999416589736938,0.47728019045957376,0.03064088520084094
rwtd_398,rwtd_398_p02_m06.png,3,0.8641376495361328,0.8992736077336679,0.9310288786255586
rwtd_399,rwtd_399_p01_m00.png,0,0.4975566864013672,0.3460444119464862,0.05482013832115527
rwtd_400,rwtd_400_p01_m04.png,3,0.5469587445259094,0.6462078798183183,0.4739330601884583
rwtd_403,run3_union,3,0.8564605712890625,0.9483568930323732,0.8033494099185523
rwtd_408,run3_union,3,0.4942886531352997,0.3252464435383825,0.0861892779183043
rwtd_410,rwtd_410_p01_m00.png,2,0.9721896648406982,0.9868414733684223,0.9666738692388601
rwtd_411,rwtd_411_p02_m00.png,3,0.924629807472229,0.9283806980691952,0.9084680187955809
rwtd_412,rwtd_412_p02_m00.png,1,0.8751956224441528,0.8959578207328883,0.8871720300923
rwtd_413,run3_union,3,0.9209232330322266,0.9163546304186209,0.8343360311114723
rwtd_414,run2_union,2,0.9042825698852539,0.965080583265675,0.9451037845162074
rwtd_416,run0_union,0,0.9471155405044556,0.9731117970459797,0.9328491122679154
rwtd_417,run2_union,2,0.8918628096580505,0.9317414375276525,0.850571450094341
rwtd_418,run2_union,2,0.9083661437034607,0.9119273301665723,0.9205489792664626
rwtd_422,rwtd_422_p02_m00.png,1,0.9453822374343872,0.9882677285924697,0.9767597952138969
rwtd_423,rwtd_423_p02_m00.png,1,0.9760648012161255,0.9795326698356576,0.9710982398404706
rwtd_424,run2_union,2,0.9507924318313599,0.9570544584943,0.8963009713933724
rwtd_425,run1_union,1,0.8365162014961243,0.9184339314806608,0.8835884934200786
rwtd_426,rwtd_426_p01_m00.png,2,0.8658572435379028,0.9109491496987897,0.8733675583309674
rwtd_428,run3_union,3,0.9657576680183411,0.9870815769873863,0.9683751910726929
rwtd_429,run0_union,0,0.9200370907783508,0.9292065573746119,0.8420200942663754
rwtd_431,run3_union,3,0.8841625452041626,0.9559907679186233,0.8823119512213269
rwtd_432,run3_union,3,0.7351767420768738,0.8495895124216598,0.6206342153215656
rwtd_434,run1_union,1,0.5891596078872681,0.38997157242048847,0.20431739077598896
rwtd_436,run2_union,2,0.9268174767494202,0.9592078537535578,0.9415952117738237
rwtd_437,run0_union,0,0.9179579019546509,0.9631046792480642,0.894712839464805
rwtd_440,run1_union,1,0.9400705695152283,0.9547922437567335,0.9653777873192873
rwtd_441,rwtd_441_p01_m00.png,2,0.947760820388794,0.9213483145969752,0.9383434959138179
